יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Asus,2022,0,Windows 11 Home,1.45,VivoBook Pro,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,1000,SSD,0,14.0,0.5063005454203499,OLED,60.0,0,NVIDIA GeForce RTX 3050,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.19415610952186352,0
Asus,2022,0,Windows 11 Home,1.8,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,OLED,60.0,0,Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,3.0,0.09352268083367389,0
HP,2021,0,ללא,1.46,לא רלוונטי,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,3.0,0.04060073559460564,0
Asus,2021,0,Windows 11 Home,1.45,לא רלוונטי,AMD Ryzen 7,8.0,3200.0,5800H,4.0,4.0,512,SSD,0,14.0,0.5063005454203499,LCD,60.0,0,AMD Radeon  Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,3.0,0.13089497343686146,0
HP,2021,0,ללא,1.74,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,3.0,0.07008581937065794,0
Lenovo,2022,0,ללא,1.6,V14 G2,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ac,0,3.0,0.04838577850429097,0
Dell,2022,0,Windows 11 Home,1.63,Inspiron 5510,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,1000,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce MX450,לא כולל,1 מגה פיקסל,"DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,0,3.0,0.1647936248467511,0
Dell,2021,0,ללא,1.44,Vostro 5410,Intel Core i5,8.0,3200.0,11320H,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,כולל,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,4.0,0.08894564773191663,0
Dell,2021,0,Windows 10 PRO,1.22,Latitude 7420,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,לא כולל,"DisplayPort , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",כולל,0,4.0,0.2359828361258684,0
Dell,2022,0,ללא,1.79,Latitude 3520,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,2 מגה פיקסל,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,4.0,0.09646505925623212,0
