Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU modal,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Asus,2021,לא רלוונטי,Windows  10,ללא,"1.7 ק""ג",לא רלוונטי,Intel Core i5,8 GB,,1035G1,דור 10,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,650","2,690",67.0,DDR4
HP,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.28 ק""ג",ProBook 430,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,13.3 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,,"DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,860","3,999",68.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"2.01 ק""ג",XPS 15,Intel Core i9,32 GB,2500Mhz,11900H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,3456X2160,OLED,60 Hz,כולל,NVIDIA GeForce RTX 3050 Ti,1 מגה פיקסל,קורא טביעות אצבע,Bluetooth,WiFi 6,לא כולל,"13,961","14,490",68.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.64 ק""ג",Vostro 5502,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,489","3,590",68.0,DDR4
Dell,2020,לא רלוונטי,Windows  10,ללא,"1.58 ק""ג",Vostro 3401,Intel Core i3,8 GB,1200Mhz,1005G1,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,589","2,590",68.0,DDR4
HP,מ 2022,לא רלוונטי,Windows 11 Pro,ללא,"1.24 ק""ג",ElitBook 830,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"5,990","5,990",68.0,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"2.2 ק""ג",TUF Gaming F15,Intel Core i7,16 GB,4700Mhz,12700H,דור 12,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,,ללא,NVIDIA GeForce RTX 3050 Ti,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,990","5,990",68.0,DDR5
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"2.0 ק""ג",TUF Dash F15,Intel Core i5,16 GB,3100Mhz,11300H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,NVIDIA GeForce RTX 3050,,לא כולל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,690","4,690",68.0,DDR4
Dell,2021,לא רלוונטי,Windows  10,ללא,"1.57 ק""ג",Inspiron 5502,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"3,690","3,829",68.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.7 ק""ג",לא רלוונטי,Intel Core i5,8 GB,,1035G1,דור 10,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,490","2,790",68.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.33 ק""ג",Latitude 7420,Intel Core i7,16 GB,3000Mhz,1185G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,599","7,990",68.0,DDR4
Lenovo,2021,לא רלוונטי,Windows 10 PRO,ללא,"0.93 ק""ג",ThinkPad X1,Intel Core i5,16 GB,4000Mhz,1130G7,דור 11,512 GB,SSD,לא כולל,13 אינטש,2160x1350,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,מצלמת IR,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth",802.11ax,לא כולל,"7,901","8,999",68.0,DDR4
